Supplier,Date,Transaksi,No.,Jatuh Tempo,Keterangan,Jumlah,Saldo
CANDRA (BLESSING),18/06/2026	,Purchase Invoice,JL.2606.04201	,18/07/2026,BELUM MASUK ,11580000.0,11580000.0
CANDRA (BLESSING),18/06/2026	,Purchase Invoice,PJL-26-06-00351	,18/07/2026,BELUM MASUK ,6605000.000001,6605000.000001
CANDRA (BLESSING),19/06/2026	,Purchase Invoice,JL.2606.04549	,03/07/2026,"BELUM MASUK 

",2775000.0,2775000.0
CANDRA (BLESSING),20/06/2026	,Purchase Invoice,JL.2606.04551	,20/07/2026,BELUM MASUK ,10990000.0,10990000.0
CANDRA (BLESSING),20/06/2026	,Purchase Invoice,JL.2606.04550	,20/07/2026,BELUM MASUK ,34739999.999999,34739999.999999
CANDRA (BLESSING),20/06/2026	,Purchase Invoice,JL.2606.04614	,20/07/2026,BELUM MASUK ,12790000.000001,12790000.000001
CANDRA (BLESSING),20/06/2026	,Purchase Invoice,JL.2606.04626	,20/07/2026,BELUM MASUK ,12390000.0,12390000.0
DWI DUTA SARANA COMPUTER SURABAYA,08/06/2026	,Purchase Invoice,26061068	,08/07/2026,,9395000.0,9395000.0
DWI DUTA SARANA COMPUTER SURABAYA,09/06/2026	,Purchase Invoice,17718	,09/07/2026,,7488000.0,7488000.0
DWI DUTA SARANA COMPUTER SURABAYA,12/06/2026	,Purchase Invoice,26061060	,22/06/2026,,812000.0,812000.0
EDISON ATK,13/04/2026	,Purchase Invoice,JL202600001824	,12/06/2026,,15120000.0,15120000.0
EDISON ATK,28/04/2026	,Purchase Invoice,JL202600001837	,27/06/2026,,4492800.0,4492800.0
EDISON ATK,13/05/2026	,Purchase Invoice,JL202600002154	,12/07/2026,,12555200.0,12555200.0
EDISON ATK,09/06/2026	,Purchase Invoice,JL202600002649	,08/08/2026,,412000.0,412000.0
ELMI,08/06/2026	,Purchase Invoice,JK/26/06/0050	,29/06/2026,MASUK ,15600000.0,15600000.0
ELMI,09/06/2026	,Purchase Invoice,JK/26/06/0086	,09/07/2026,,29400000.0,29400000.0
GUDANG AKSESORIES SURABAYA (KURNIAWAN),11/04/2026	,Purchase Invoice,7075	,10/06/2026,BAYAR ,22745500.0,17545500.0
GUDANG AKSESORIES SURABAYA (KURNIAWAN),29/04/2026	,Purchase Invoice,7114	,28/06/2026,BAYAR ,6000000.0,6000000.0
GUDANG AKSESORIES SURABAYA (KURNIAWAN),20/05/2026	,Purchase Invoice,7148	,19/07/2026,BAYAR ,3220000.0,2794000.0
IP COM TOKO,22/05/2026	,Purchase Invoice,JL0000003508	,21/06/2026,,3150000.0,3150000.0
IP COM TOKO,05/06/2026	,Purchase Invoice,JL0000003581	,05/07/2026,"MASUK

VIA LION PARCEL",525000.0,525000.0
KETUT DUARAYASA SUPLAYER,18/06/2026	,Purchase Invoice,17749	,02/07/2026,BELUM MASUK ,18145000.0,18145000.0
KO AMIN PIGURA,19/07/2024	,Purchase Invoice,15696	,18/08/2024,HITAM SMUA ,1263500.0,1263500.0
LILI (PLATINUM),18/05/2026	,Purchase Invoice,17679	,17/06/2026,,930000.0,930000.0
LILI (PLATINUM),20/05/2026	,Purchase Invoice,002425	,19/06/2026,,1200000.0,1200000.0
LILI (PLATINUM),20/05/2026	,Purchase Invoice,002419	,19/06/2026,,800000.0,800000.0
LILI (PLATINUM),20/05/2026	,Purchase Invoice,002426	,19/06/2026,,800000.0,800000.0
LILI (PLATINUM),20/05/2026	,Purchase Invoice,002422	,19/06/2026,,3250000.0,3250000.0
LILI (PLATINUM),21/05/2026	,Purchase Invoice,002424	,20/06/2026,,21600000.0,21600000.0
LILI (PLATINUM),22/05/2026	,Purchase Invoice,002427	,21/06/2026,,13564000.0,13564000.0
LILI (PLATINUM),23/05/2026	,Purchase Invoice,002428	,22/06/2026,MASUK ,2940000.0,2940000.0
LILI (PLATINUM),25/05/2026	,Purchase Invoice,002430	,24/06/2026,,3300000.0,3300000.0
LILI (PLATINUM),28/05/2026	,Purchase Invoice,002431	,27/06/2026,,1200000.0,1200000.0
LILI (PLATINUM),29/05/2026	,Purchase Invoice,002432	,29/06/2026,"MASUK 
",18207500.0,18207500.0
LILI (PLATINUM),30/05/2026	,Purchase Invoice,002433	,30/06/2026,,6937500.0,6937500.0
LILI (PLATINUM),04/06/2026	,Purchase Invoice,002435	,04/07/2026,,4440000.0,4440000.0
LILI (PLATINUM),05/06/2026	,Purchase Invoice,002437	,05/07/2026,,6375000.0,6375000.0
LILI (PLATINUM),06/06/2026	,Purchase Invoice,002438	,06/07/2026,,570000.0,570000.0
LILI (PLATINUM),10/06/2026	,Purchase Invoice,002440	,10/07/2026,MASUK,1120000.0,1120000.0
LILI (PLATINUM),13/06/2026	,Purchase Invoice,002441	,13/07/2026,,835000.0,835000.0
LILI (PLATINUM),13/06/2026	,Purchase Invoice,002439	,13/07/2026,,8040000.0,8040000.0
LILI (PLATINUM),15/06/2026	,Purchase Invoice,002442	,15/07/2026,,2310000.0,2310000.0
PIGURA KITA ( AMIN ),10/04/2026	,Purchase Invoice,17600	,10/05/2026,,7425000.0,7425000.0
PIGURA KITA ( AMIN ),11/05/2026	,Purchase Invoice,PG001676	,10/06/2026,,7425000.0,7425000.0
PRIYO (K GALAXY),03/06/2026	,Purchase Invoice,00714627_036	,17/06/2026,,5230000.0,5230000.0
PRIYO (K GALAXY),08/06/2026	,Purchase Invoice,00714882_036	,22/06/2026,,4550000.0,4550000.0
PRIYO (K GALAXY),09/06/2026	,Purchase Invoice,17734	,23/06/2026,,2725000.0,2725000.0
PRIYO (K GALAXY),11/06/2026	,Purchase Invoice,00715117_036	,25/06/2026,,8235000.0,8235000.0
PT CIPTA KARYA NUSANTARA ANDRE,11/05/2026	,Purchase Invoice,17643	,10/07/2026,,13125000.0,13125000.0
PT CIPTA KARYA NUSANTARA ANDRE,25/05/2026	,Purchase Invoice,26/6/00017	,24/07/2026,,4100000.0,4100000.0
PT DINAMIKA PERKASA JAYA,21/05/2026	,Purchase Invoice,ng2026/0444	,20/06/2026,"masuk 

BAYAR",61500000.0,39000000.0
PT SAMAMAJU PRIMA NTB,15/06/2026	,Purchase Invoice,D/26/03142/NTB	,29/06/2026,,17685000.0,17685000.0
PT SAMAMAJU PRIMA NTB,19/06/2026	,Purchase Invoice,D/26/03172/NTB	,03/07/2026,BELUM MASUK ,11175000.0,11175000.0
PT. INDO WARNA MULIA ( ALFA INK ),23/04/2026	,Purchase Invoice,JN-N/SBY//230426/005	,23/05/2026,parfum ,2928000.0,2928000.0
PT. INDO WARNA MULIA ( ALFA INK ),18/05/2026	,Purchase Invoice,JN-n/SBY//180526/002	,17/06/2026,,3750000.0,3750000.0
PT. INDO WARNA MULIA ( ALFA INK ),21/05/2026	,Purchase Invoice,JN-S/SBY/P02/210526/002	,20/06/2026,,1395000.0,1395000.0
PT. INDO WARNA MULIA ( ALFA INK ),21/05/2026	,Purchase Invoice,JN-N/SBY//210526/001	,20/06/2026,,5580000.0,5580000.0
PT. INDO WARNA MULIA ( ALFA INK ),30/05/2026	,Purchase Invoice,JN-N/SBY//300526/013	,29/06/2026,,1999200.0,1999200.0
PT. INDO WARNA MULIA ( ALFA INK ),30/05/2026	,Purchase Invoice,JN-N/SBY//300526/012	,29/06/2026,,5890600.0,5890600.0
PT. INDO WARNA MULIA ( ALFA INK ),30/05/2026	,Purchase Invoice,JN-N/SBY//300526/004	,29/06/2026,,8835900.0,8835900.0
PT. INDO WARNA MULIA ( ALFA INK ),09/06/2026	,Purchase Invoice,JN-N/SBY//090626/006	,09/07/2026,,899100.0,899100.0
PT. Surya Makmur Kreasindo (HJ),21/05/2026	,Purchase Invoice,PJL-26-05-00300	,20/06/2026,"MASUK 

BAYAR ",20910000.000002,20910000.000002
PT. Surya Makmur Kreasindo (HJ),25/05/2026	,Purchase Invoice,PJL-26-05-00375	,24/06/2026,MASUK ,31350000.0,31350000.0
PT. Surya Makmur Kreasindo (HJ),29/05/2026	,Purchase Invoice,PJL-26-05-00462	,28/06/2026,MASUK ,26940000.0,26940000.0
PT. Surya Makmur Kreasindo (HJ),02/06/2026	,Purchase Invoice,PJL-26-06-00011	,02/07/2026,MASUK ,12240000.0,12240000.0
PT. Surya Makmur Kreasindo (HJ),04/06/2026	,Purchase Invoice,PJL-26-06-00080	,04/07/2026,MASUK ,8200000.0,8200000.0
