Product Code,Product Name,Unassigned,Total Quantity,Product Unit
"",* ALFA INK TINTA STEMPEL FLASH 10 ML,143,143,PCS
"",* ALL IN ONE ACER C22 1700 Ci3 1215U 8GB 512GB WIN 11,0,0,UNIT
"",* ALL IN ONE LENOVO IDEACENTRE 3 22IAP7 Ci3-1215U 8GB 256GB SSD #,0,0,UNIT
"",* AMPLOP PAPER LINE ( LEM ),10,10,PCS
"",* APC SRC1KI,0,0,UNIT
"",* APC SRT6KXLI,0,0,UNIT
"",* APPLE MACBOOK AIR 13 M2 8GB 256GB SPACE GREY,0,0,UNIT
"",* APPLE MACBOOK AIR 13 M4 CHIP WITH 10-CORE CPU AND 8-CORE GPU 16GB 256GB SSD,0,0,UNIT
"",* ASUS A1402ZA-IPS552 CI5-1235U 8GB 512GB SSD WIN 11 #,0,0,UNIT
"","* ASUS A1502ZA Ci5-1235U 8GB 512GB WIN 11 15"" TOUCH",0,0,UNIT
"","* ASUS A416EPO CI5 - 1135G7 8GB 512GB SSD MX 330 NVIDIA 14""",0,0,UNIT
"","* ASUS A416FA-FHD CI3-10110U  4GB 256GB SSD 14"" #",0,0,UNIT
"",* ASUS A416J CI5-1035G1 4GB 512GB SSD WIN 11 NW,0,0,UNIT
"","* ASUS A416JAO CI3-1005G1 4GB 256GB SSD 14""",0,0,UNIT
"","* ASUS A416JAO CI5-1035G1 4GB 256GB SSD 14""",0,0,UNIT
"",* ASUS A416JP0 CI5 1035G1 8GB 512GB SSD MX 330,0,0,UNIT
"","* ASUS A416JPO CI5 1035G1 8GB 512GB SSD MX 330 2GB 14""",0,0,UNIT
"","* ASUS A416MAO INTEL N4020 4GB 256GB SSD 14""",0,0,UNIT
"","* ASUS A516EPO - VIPS752 CI7-1165G7 8GB 512GB SSD MX 330 2GB 14""",0,0,UNIT
"",* ASUS A516JAO-VIPS527 CI5-1035G1 4GB 256GB SSD,0,0,UNIT
"","* ASUS A516KA - FHD INTEL N4500 4GB 256GB SSD 15""",0,0,UNIT
"",* ASUS A516MAO INTEL N4020 4GB 256GB SSD,0,0,UNIT
